"","X","mctn","actn","mctp","actp","mcsal","acsal","mctnm","actnm","actpm","mctpm","mcnh4","acnh4","mcdoc","acdoc","mcsalm","acsalm","aflow","amaxstage","aminstage","mflow","mmaxstage","mmeanstage","mminstage","gTOC","gDO","gTP","gsal","gturb","gtemp","gNH4","gpH","gsecchi","gdepth","gchl","gTN","rTOC","rDO","rTP","rsal","rturb","rtemp","rNH4","rpH","rsecchi","rdepth","rchl","rTN","tTOC","tDO","tNN","tNO3","tNO2","tTP","tsal","tturb","ttemp","tNH4","tAP","tOP","tpH","tsecchi","tdepth","tchl","tchlb","tTN","marshtotrain","marshmeanrain","tschlorophyll","tsDO","tspH","tsrainfall","tssalinity","tstemperature","tsmeanstage","gschlorophyll","gsDO","gspH","gsrainfall","gssalinity","gstemperature","gsmeanstage"
"32",118,126.427272727273,224.859,0.963636363636364,2.699,21.6454545454545,28.64,125,200,1.578,0.946,2.714,1.286,1916.667,1891.667,14.9,25.7,13.4495833333333,0.00375,-0.492916666666667,47.1963333333333,-0.0166666666666667,-0.11,-0.212,19.1,5.645,0.0375,34.1,8.85,28.65,0.019,8.35,0.45,1,12.58,2.49,6.15,6.4,0.009,33.5,2.75,28.8,5e-04,8,1.5,1.5,3.002,0.765,12.4,6.31,0.007,NA,0.003,0.006,30.9,1.5,28.9,0.051,NA,0.000370370370370371,8,1.3,1.3,0.96,0.13911320754717,1.21,5.07,0.169,9.26403333333333,5.57183333333333,7.98143333333333,0.180333333333333,23.427,31.0570666666667,-0.1588,24.2534333333333,5.8705,8.26733333333333,0.123666666666667,31.7442666666667,30.8868666666667,-0.138133333333333
"33",119,129.93,223.643,0.939,3.224,21.22,30.57,127.857,159.286,1.243,0.826,2.429,0.643,1916.667,1508.333,14.9,31.2,10.795625,-0.0575,-0.525,37.5870967741935,-0.0835483870967742,-0.186129032258065,-0.290322580645161,21.3,5.25,0.046,37.6,10.7,27.6,0.027,8.3,0.3,1,15.9,2.96,9.2,4.24,0.021,38.3,4.45,27.6,0.0125,8.1,1,1.3,9.292,1.29,14.5,5.8,0.007,NA,0.00275,0.016,31.8,3.6,28.2,0.015,NA,0.000296296296296296,8,1.1,1.1,7.41,0.137471698113208,1.73,3.35,0.108064516129032,7.45922580645161,6.15803225806452,7.99403225806452,0.111935483870968,21.7245161290323,28.7078709677419,-0.237483870967742,29.4543870967742,5.87674193548387,8.18693548387097,0.0667741935483871,32.061,28.330935483871,-0.230903225806452
"34",120,122.468181818182,248.507272727273,0.885454545454545,3.07909090909091,21.89,31.74,119.286,238.571,2.644,0.867,2,1.214,1575,1333.333,22.1,34.7,4.96933333333333,-0.182666666666667,-0.675333333333333,19.5843333333333,-0.138333333333333,-0.245666666666667,-0.364666666666667,19.45,6.545,0.0505,36.9,12.75,24.75,0.02,8.2,0.25,0.75,20.45,2.635,17,5.88,0.063,37.3,13.6,26.7,0.007,7.9,0.5,1.3,17.1,2.44,12.5,5.86,0.007,NA,0.0025,0.008,30.3,3.2,26.7,0.041,NA,0.000222222222222222,7.9,1.1,1.1,1.18,0.135830188679245,1.14,3.21,0.107,12.146,6.4613,8.20216666666667,0.099,22.9784333333333,26.2125666666667,-0.303866666666667,36.1332666666667,6.03373333333333,8.07496666666667,0.0609,33.6363,25.9017666666667,-0.304433333333333
"35",121,125.214,231.643,0.97,3.571,28.85,36.12,120,239.286,3.27,1.025,2.071,1.5,1516.667,2075,26.3,27.6,7.06290322580645,-0.224838709677419,-0.756774193548387,40.3354838709677,-0.160967741935484,-0.286129032258065,-0.418387096774194,17.6,7.84,0.055,36.2,14.8,21.9,0.013,8.1,0.2,0.5,25,2.31,3.3,7.5,0.007,35.4,2.6,22,0.021,8.1,0.9,1.2,2.142,0.3885,14.6,6.79,0.007,NA,0.00225,0.017,32.9,6,22.1,0.049,NA,0.000148148148148148,8,0.7,0.9,10.1,0.134188679245283,1.57,1.37,0.0441935483870968,13.1101612903226,7.19158064516129,8.06441935483871,0.0490322580645161,28.579064516129,22.4849032258065,-0.354258064516129,35.1150476190476,7.24958064516129,8.09351612903226,0.051,35.3511612903226,22.2143548387097,-0.399935483870968
"36",122,128,222.428,0.977,2.964,26.88,33.34,120.357,205,2.4815,0.8645,2.2675,3.4645,1502.0835,1629.1665,24.55,29.65,12.3067741935484,-0.488709677419355,-1.02193548387097,25.3567741935484,-0.419677419354839,-0.56,-0.68258064516129,15.7,50.17,0.05,35.75,13.35,23.6,0.079,8,0.35,0.65,21.3,2.175,7.9,7.34,0.023,33.1,19.5,18,0.061,8,0.6,1.3,3.4,0.862,12.8,7.44,0.007,NA,0.002,0.013,31.4,4,17.3,0.109,NA,7.40740740740743e-05,8,1.3,1.3,2.92,0.132547169811321,1.27,3.14,0.101290322580645,11.2991935483871,7.75903225806452,8.14977419354839,0.0790322580645161,27.7455806451613,21.3206129032258,-0.598516129032258,29.5995185185185,7.20367741935484,8.1121935483871,0.0780322580645161,33.953935483871,20.7904193548387,-0.695129032258065
"37",123,115.633333333333,172.86,0.666666666666667,2.16,29.9555555555556,35.15,120.714,170.714,1.693,0.704,2.464,5.429,1487.5,1183.333,22.8,31.7,-0.418571428571429,-0.35,-0.853214285714286,-0.327857142857143,-0.359642857142857,-0.4725,-0.576071428571429,13.8,92.5,0.045,35.3,11.9,25.3,0.145,7.9,0.5,0.8,17.6,2.04,9.5,6.51,0.022,34.2,7.3,25.2,0.119,7.9,1.2,1.2,6.65,1.17,5.5,6.27,0.007,NA,5e-04,0.005,33.9,0.65,25.3,0.1215,NA,0,7.9,1,1,0.408,0.130905660377358,0.675,1.62,0.0578571428571429,6.86357142857143,6.62028571428571,8.11532142857143,0.0560714285714286,29.5133571428571,25.587,-0.517285714285714,37.15325,6.25185714285714,8.00825,0.05525,32.6937857142857,25.1076785714286,-0.478607142857143
"38",124,118.644,229.443333333333,0.848,2.959,36.54,45.48,119.286,174.6425,1.8905,0.776,1.286,3.1075,1450,1154.1665,32.9,37.55,-10.98,-0.343548387096774,-0.878387096774194,-24.0916129032258,-0.281612903225806,-0.411935483870968,-0.523225806451613,15.8,49.475,0.043,37.65,12.3,26.65,0.0855,8.05,0.375,0.9,18.55,2.09,7.3,5.13,0.016,34.7,3,27.6,0.216,7.7,1.3,1.3,0.937,0.976,13,5.15,0.007,NA,0.00175,0.009,35.2,1.1,27.4,0.162,NA,0.000105263157894737,7.7,1,1,0.556,0.129264150943396,1.27,1.13,0.0364516129032258,4.86696774193548,6.342,8.09864516129032,0.0319354838709677,32.8518709677419,25.4500967741935,-0.444290322580645,44.1000322580645,6.40341935483871,8.04193548387097,0.0376129032258065,37.4959032258065,24.8812903225806,-0.453354838709677
"39",125,116.215,243.715,0.72,3.499,39.15,46.28,129.286,178.571,2.088,0.782,1.071,0.786,1841.667,1125,28.6,43.4,-13.254,-0.248333333333333,-0.729333333333333,-9.488,-0.187333333333333,-0.302,-0.408666666666667,17.8,6.45,0.041,40,12.7,28,0.026,8.2,0.25,1,19.5,2.14,9.5,6.08,0.017,38.7,4.8,27.8,0.027,8.1,1.5,1.5,3.09,0.946,12.6,5.71,0.007,NA,0.003,0.008,37.9,6.2,28.3,0.271,NA,0.000210526315789474,8,1,1,0.494,0.127622641509434,1.43,3.37,0.112333333333333,2.65253333333333,5.5669,7.97876666666667,0.0826666666666667,36.2614333333333,27.8523666666667,-0.354733333333333,21.1385333333333,5.56376666666667,8.03633333333333,0.1039,41.3060666666667,27.3419333333333,-0.304133333333333
"40",126,128.071,258.413333333333,0.705,2.89555555555556,41.9,53.9444444444444,122.857,232.143,2.2235,0.591,2.571,3,1533.333,1550,37.1,43.55,-15.0667741935484,-0.424193548387097,-0.858709677419355,-16.6778571428571,-0.389677419354839,-0.46741935483871,-0.555806451612903,15.25,6.875,0.0365,41.7,9.65,29,0.0245,7.95,0.525,0.9,15.4,1.855,8,6.09,0.018,39.3,3.4,29.8,0.029,8.2,1.5,1.5,2.9,0.857,13.8,5.6,0.007,NA,0.002,0.01,42.6,1.9,29,0.224,NA,0.000315789473684211,7.9,1.2,1.2,0.919,0.125981132075472,1.6,5.3,0.170967741935484,3.53729032258065,5.08367741935484,7.95929032258065,0.0377727272727273,39.9752580645161,30.018,-0.511161290322581,30.3854615384615,5.18532258064516,8.12677419354839,0.0864516129032258,44.9233548387097,29.2842258064516,-0.460258064516129
"41",127,125.476666666667,239.642,0.963333333333333,2.97666666666667,45.825,58.3444444444444,133.571,219.286,2.463,0.659,2.929,53.643,1641.667,1466.667,37.09,37,-16.0223333333333,-0.053,-0.513,-22.4966666666667,-0.0666666666666667,-0.152666666666667,-0.237,12.7,7.3,0.032,43.4,6.6,30,0.023,7.7,0.8,0.8,11.3,1.57,6,5.73,0.011,38.3,2.4,29.9,0.03,7.7,1.5,1.5,0.967,0.652,13,6,0.007,NA,0.002,0.009,41.4,1.9,30,0.159,NA,0.000421052631578947,7.6,1.1,1.1,0.907,0.124339622641509,1.39,6.05,0.201666666666667,9.75086666666667,4.63256666666667,7.933,0.235333333333333,40.4122666666667,31.7863333333333,-0.1945,21.4185666666667,4.87676666666667,8.0136,0.1938,42.0511666666667,31.3409666666667,-0.155566666666667
"42",128,164.481818181818,283.246363636364,1.21181818181818,3.70818181818182,43.9181818181818,42.3818181818182,176.429,266.429,2.081,1.171,0.714,1.286,1750,1458.333,35.4,36.8,-0.464516129032258,-0.0145161290322581,-0.506774193548387,10.0654838709677,-0.0267741935483871,-0.110322580645161,-0.20258064516129,11.6,6.685,0.027,39.15,5.45,30.85,0.0265,7.9,0.8,0.8,9.815,1.48,5.3,9.57,0.012,37,2.8,31.9,0.087,8,1.3,1.3,0.311,0.766,11.7,10.7,0.00727777777777778,NA,0.002,0.014,39.3,2.5,31.7,0.024,NA,0.000526315789473684,8,1,1,1.84,0.122698113207547,1.55,12.95,0.417741935483871,16.7955483870968,5.75296774193548,8.17,0.201645161290323,38.3580322580645,31.7656451612903,-0.171516129032258,37.6342258064516,5.397,8.09377419354839,0.155612903225806,36.0434516129032,31.4818064516129,-0.141258064516129
"43",129,207.143333333333,250.929,1.6225,3.408,33.525,34,221.429,240.714,2.674,2.041,1.714,5.571,2858.333,1412.5,27.8,23.9,21.558064516129,0.162258064516129,-0.339677419354839,50.4487096774194,0.173870967741935,0.0893548387096774,-0.00129032258064516,10.5,6.07,0.022,34.9,4.3,31.7,0.03,8.1,0.8,0.8,8.33,1.39,4.8,4.69,0.01,34.8,2.4,31.3,0.077,8,1.3,1.3,0.581,0.638,13.6,6.39,0.00755555555555556,NA,0.002,0.022,37.3,5,31.6,0.015,NA,0.000631578947368421,8,0.7,1.2,8.04,0.121056603773585,1.79,7.03,0.226774193548387,33.0804838709677,4.87425806451613,7.95658064516129,0.254870967741935,32.245935483871,31.7371290322581,0.00809677419354839,51.6647741935484,4.75306451612903,8.05874193548387,0.256322580645161,29.6131290322581,31.5383225806452,0.0150322580645161
"44",130,202.46,227.697777777778,1.64555555555556,2.46444444444444,31.45,30.3111111111111,197.143,202.857,1.611,2.687,2.571,1.714,2208.333,1366.667,27.5,32.8,15.1578571428571,0.0925,-0.399285714285714,38.3413333333333,0.148333333333333,0.0663333333333333,-0.035,12.55,5.85,0.0285,36.3,8.35,29.1,0.0235,7.95,0.65,1.05,18.465,1.74,4.8,5.92,0.008,36.6,2.1,30,0.058,7.9,1.2,1.2,0.242,0.51,14.4,5.8,0.00783333333333333,NA,0.002,0.017,34.2,4.2,30.2,0.013,NA,0.000736842105263158,7.9,1.1,1.1,5.01,0.119415094339623,1.53,4.38,0.146,28.2794,5.23653333333333,7.93913333333333,0.0802,30.8524333333333,29.6423666666667,-0.0260333333333333,35.9088,5.66226666666667,8.16606666666667,0.0793,31.1435,29.4232666666667,-0.0286
"45",131,158.073,215.285,1.417,3.13,34.12,39.73,175.714,246.429,3.484,1.776,1.357,2,2150,2533.333,28.4,34.9,13.3231034482759,0.547741935483871,0.0190322580645161,22.6083870967742,0.580322580645161,0.481290322580645,0.376129032258065,14.6,5.63,0.035,37.7,12.4,26.5,0.017,7.8,0.5,1.3,28.6,2.09,12.4,5.53,0.023,38.3,7.2,26.7,0.013,7.7,0.8,1.8,13.6,1.54,12.2,5.58,0.00811111111111111,NA,0.002,0.007,37.7,4.3,27,0.11,NA,0.000842105263157895,7.7,1.4,1.5,1,0.11777358490566,1.28,4.01,0.129354838709677,13.8918387096774,4.06222580645161,7.76367741935484,0.232096774193548,33.5103548387097,29.3440322580645,0.391935483870968,31.5560967741935,5.95951612903226,8.12035483870968,0.131740740740741,36.4935161290323,29.2281612903226,0.411709677419355
"46",132,162.357,249.573,1.592,3.294,31.93,35.34,122.143,252.857,3.246,0.888,1.857,2.857,1483.333,2516.667,33.8,34.4,19.9826666666667,0.255,-0.269666666666667,37.6133333333333,0.331,0.222333333333333,0.11,11.3,6.635,0.0235,37.35,7.65,23.15,0.0315,7.95,0.65,1.05,15.27,1.4265,13.3,5.86,0.011,38.3,2.9,27.4,0.05,8,1.4,1.4,2.66,1.35,5.25,5.37,0.00838888888888889,NA,0.002,0.002,37.5,0.45,27.4,0.077,NA,0.000947368421052632,8,1.2,1.2,0.1555,0.116132075471698,0.565,0.28,0.00933333333333333,26.9892333333333,5.57633333333333,7.9152,0.011,31.4873333333333,25.3516666666667,0.129233333333333,44.5978333333333,6.0542,8.05043333333333,0.108118827160494,36.9832,25.1614666666667,0.108166666666667
"47",133,175.286,256.948181818182,1.605,3.7,31.96,37.7090909090909,180.714,267.143,2.831,1.565,1.071,1.286,1991.667,3025,28.6,43.2,22.4422580645161,-0.234193548387097,-0.709677419354839,24.451935483871,-0.145161290322581,-0.256129032258064,-0.375483870967742,8,7.64,0.012,37,2.9,19.8,0.046,8.1,0.8,0.8,1.94,0.763,2.8,7.48,0.003,35.2,0.85,20,0.012,8,1.3,1.3,0.627,0.249,14.5,6.92,0.00866666666666667,NA,0.002,0.009,37,2.1,21.1,0.058,NA,0.00105263157894737,7.9,1,1,1.5,0.114490566037736,1.26,2,0.0645161290322581,19.0040322580645,6.66967741935484,7.98832258064516,0.0693548387096774,31.4645806451613,23.5843548387097,-0.351258064516129,44.9728387096774,6.49535483870968,8.09106451612903,0.084496913580247,35.0643225806452,23.3824516129032,-0.365838709677419
"48",134,166.271111111111,244.683333333333,1.58777777777778,3.56555555555556,30.42,31.6111111111111,119.286,210.714,2.559,0.853,0.857,1.714,1375,1691.667,33.9,35.1,17.6932258064516,-0.47741935483871,-0.943870967741935,16.3058064516129,-0.383548387096774,-0.503225806451613,-0.610322580645161,9.1,7.91,0.015,35.9,3.8,18.75,0.214,8.05,0.7,0.7,2.49,1.0515,17.8,8.61,0.04,38,11.2,15,0.009,7.9,0.5,2,7.57,1.85,11.8,8.12,0.00894444444444444,NA,0.002,0.005,37.7,1.8,15.8,0.107,NA,0.00115789473684211,7.7,1.7,1.7,0.473,0.112849056603774,1.1,0.45,0.0145161290322581,14.5808064516129,7.20545161290323,8.11829032258064,0.0138709677419355,30.5081935483871,22.257935483871,-0.591407407407407,28.3465483870968,7.22248387096774,8.2,0.060875,32.6467096774194,21.7356774193548,-0.596096774193548
"49",135,144.998571428571,222.383333333333,1.53333333333333,3.44,31.1333333333333,31.2333333333333,159.286,221.429,2.952,1.455,2.357,2.143,1783.333,2558.333,26.5,22.1,29.4273684210526,-0.519310344827586,-1.03275862068966,31.0371428571429,-0.461034482758621,-0.611034482758621,-0.743103448275862,10.2,8.18,0.018,34.8,4.7,17.7,0.382,8,0.6,0.6,3.04,1.34,2.8,7.78,0.0025,33.7,0.8,18.5,0.0165,8.2,1.2,1.2,0.0905,0.2715,13.6,7.77,0.00922222222222222,NA,0.0025,0.012,36,2.8,19.6,0.108,NA,0.00126315789473684,8,0.9,0.9,3.2,0.111207547169811,1.32,3.1,0.106896551724138,11.2582068965517,6.83206896551724,8.1171724137931,0.0917241379310345,31.5847931034483,24.0234482758621,-0.684689655172414,30.1555357142857,7.06706896551724,8.21135714285714,0.0831034482758621,32.6364285714286,23.3809310344828,-0.72248275862069
"50",136,139.262,230.625,1.29727272727273,3.60888888888889,37.6363636363636,42.7666666666667,147.143,239.286,2.707,1.111,1.143,1.643,1525,2091.667,27.4,45,-5.1558064516129,-0.626451612903226,-0.98258064516129,-17.5912903225806,-0.591290322580645,-0.677741935483871,-0.761935483870968,13.85,8.085,0.027,40.7,7.05,22.25,0.1965,8.1,0.7,0.7,5.95,1.62,9.4,6.94,0.011,34.9,1.5,25.5,0.03,8.4,1.1,1.1,0.169,0.678,12.3,5.85,0.0095,NA,0.003,0.008,37.9,2.2,25.1,0.075,NA,0.00136842105263158,8.1,0.8,0.8,0.654,0.109566037735849,1.21,0.06,0.00193548387096774,8.70632258064516,6.225,8.09303225806452,0.00032258064516129,36.878064516129,25.9076774193548,-0.719129032258064,23.7402580645161,6.26448387096774,8.1351935483871,0.00193548387096774,40.9993225806452,25.3085806451613,-0.705870967741935
"51",204,148.561,190.2325,1.43863636363637,2.94722222222222,41.5681818181818,44.7833333333333,141.4285,187.8575,2.255,1.305,1.1785,3.607,1612.5,1579.167,30.45,39.85,-31.6936666666667,-0.16,-0.639333333333333,-32.5833333333333,-0.186,-0.283666666666667,-0.376666666666667,17.5,7.99,0.036,46.6,9.4,26.8,0.011,8.2,0.8,0.8,8.86,1.9,6.3,6.82,0.0045,43.7,1.35,27.2,0.004,8.3,1.1,1.1,0.2595,0.56,12.3,7.9,0.00977777777777778,NA,0.002,0.008,42,3.2,26.9,0.083,NA,0.00147368421052632,7.9,0.8,0.8,0.352,0.107924528301887,1.17,3.12,0.104,12.1507666666667,5.57466666666667,8.09003333333333,0.0933333333333333,44.0908666666667,29.0898666666667,-0.321533333333333,13.3541666666667,5.98123333333333,8.11003333333333,0.0473333333333333,45.3734,28.5869,-0.2669
"52",137,157.86,149.84,1.58,2.28555555555556,45.5,46.8,135.714,136.429,1.803,1.499,1.214,5.571,1700,1066.667,33.5,34.7,-9.69096774193548,-0.276774193548387,-0.701290322580645,1.97741935483871,-0.243225806451613,-0.338709677419355,-0.424838709677419,14.55,6.145,0.0235,42.7,5.3,28.6,0.0385,8.4,0.7,0.7,4.945,1.54,7,4.05,0.008,39,1.3,27.6,0.014,8.3,1.2,1.2,0.327,0.629,10.3,3.22,0.0100555555555556,NA,0.002,0.007,44,1,27.8,0.053,NA,0.00157894736842105,8.1,1,1,0.628,0.106283018867925,0.95,9.14,0.294838709677419,11.2243225806452,5.94283870967742,8.21544444444444,0.274193548387097,40.6033548387097,28.8867419354839,-0.390935483870968,9.92261290322581,6.28351612903226,8.12687096774193,0.225806451612903,41.0632258064516,28.2912258064516,-0.376741935483871
"53",138,176.07,201.858,1.805,2.668,34.5,38.44,167.857,218.571,2.064,1.158,1.214,2,1933.333,2158.333,28.2,25,9.07866666666667,-0.0726666666666667,-0.492333333333333,23.2643333333333,-0.0706666666666667,-0.149333333333333,-0.226,11.6,4.3,0.011,38.8,1.2,30.4,0.066,8.6,0.6,0.6,1.03,1.18,9.6,5.28,0.008,37.2,1.5,30.1,0.027,8.2,1.2,1.2,0.521,0.93,12.3,5.13,0.0103333333333333,NA,0.002,0.006,40.1,1.1,30.7,0.054,NA,0.00168421052631579,8.6,1,1,0.354,0.104641509433962,1.13,6.21,0.207,11.4376666666667,5.36796666666667,7.97803333333333,0.212,32.9815333333333,31.2649666666667,-0.212266666666667,16.709,6.06216666666667,8.26493333333333,0.195,34.1230333333333,31.0597333333333,-0.178166666666667
"54",139,150.52,220.928,1.06545454545455,2.54888888888889,36.19,37.7,145.714,237.143,2.757,1.097,1.571,2.107,2000,2433.333,28.5,26,2.87,-0.111935483870968,-0.553870967741935,22.1235483870968,-0.104193548387097,-0.183870967741935,-0.274516129032258,12.4,4.79,0.0115,39.95,1.4,30.85,0.058,8.35,0.65,0.65,1.985,1.375,6,4.57,0.011,38,2.4,30,0.046,8,1,1,0.526,0.706,15.8,5.44,0.0106111111111111,NA,0.002,0.014,41.8,2.7,30.1,0.045,NA,0.00178947368421053,7.8,0.8,0.8,4.17,0.103,1.7,7.22,0.232903225806452,5.51975862068966,5.48164516129032,8.00096774193548,0.171612903225806,34.8151290322581,31.7228387096774,-0.242032258064516,15.9045483870968,5.83967741935484,8.29274193548387,0.211612903225806,36.3877741935484,31.3501290322581,-0.22258064516129
"55",140,158.713,288.507272727273,1.107,4.04454545454545,36.4,37.71,160,347.857,3.777,0.942,2,2.214,2083.333,2866.667,32.4,36.3,4.71928571428571,0.0383870967741936,-0.395806451612903,-4.10096774193548,0.0251612903225806,-0.0525806451612903,-0.149032258064516,13.2,5.28,0.012,41.1,1.6,31.3,0.05,8.1,0.7,0.7,2.94,1.57,3.65,5.15,0.0075,36.5,1.3,30.7,0.0165,7.8,1.1,1.1,2.092,0.5,14,6.34,0.0108888888888889,NA,0.002,0.006,40,1,31.7,0.044,NA,0.00189473684210526,8.2,0.8,0.8,0.462,0.09675,1.46,3.07,0.0990322580645161,5.57883870967742,5.32309677419355,8.0388064516129,0.0816129032258065,36.0475483870968,32.7445161290323,-0.083,24.8294516129032,6.16635483870968,8.30696774193548,0.0716129032258064,36.4506129032258,32.0435806451613,-0.0610967741935484
"56",141,158.714,272.537777777778,1.363,4.937,26.83,36.9222222222222,177.143,212.143,2.916,1.885,2.714,1.714,2441.667,2425,23.1,28,17.1986666666667,0.388666666666667,-0.155333333333333,30.8653333333333,0.385333333333333,0.289333333333333,0.174666666666667,15.85,5.225,0.013,35.6,2.05,31,0.131,8,0.75,0.75,2.475,1.59,18.7,5.57,0.044,42.7,8.9,32.6,0.014,8,0.8,1.2,12.8,2.26,13.3,3.46,0.0111666666666667,NA,0.002,0.006,37.6,1.2,31.7,0.067,NA,0.002,8,0.8,0.8,0.557,0.0905,1.275,9.21,0.307,9.34773333333333,4.4509,7.86876666666667,0.267333333333333,33.6727,30.7152666666667,0.240066666666667,25.1080666666667,5.55633333333333,8.06633333333333,0.354666666666667,35.8385333333333,30.4477666666667,0.238833333333333
"57",142,137.532727272727,220.194545454545,1.40545454545455,5.90272727272727,18.44,20.8727272727273,101.429,159.286,2.485,0.717,5.786,2.643,1508.333,2241.667,8.2,8.8,61.1216129032258,0.456129032258065,-0.0364516129032258,111.508387096774,0.491935483870968,0.413548387096774,0.328709677419355,18.5,5.17,0.014,30.1,2.5,30.7,0.212,7.9,0.8,0.8,2.01,1.61,15.5,5.66,0.01,34.1,1.3,30.2,0.156,7.9,1.4,1.4,1.2,1.39,12.6,5.45,0.0114444444444444,NA,0.002,0.006,30.7,1.1,31.9,0.084,NA,0.002,8.1,1,1,0.652,0.08425,1.09,13.77,0.444193548387097,16.2280967741935,3.32209677419355,7.59941935483871,0.290967741935484,16.8,29.0484193548387,0.310967741935484,18.0927741935484,4.43625806451613,7.90425806451613,0.245483870967742,26.7856129032258,29.5588709677419,0.281064516129032
"58",143,90.3890909090909,107.143,1.15272727272727,2.271,6.89090909090909,11.54,88.571,129.643,1.988,1.157,13.714,3.25,1025,1675,2.48,12.85,90.67,0.0483333333333333,-0.503333333333333,199.36,0.252,0.158666666666667,0.0343333333333333,10.775,6.74,0.009,29.75,2.375,23.4,0.1105,8.05,0.7,0.7,1.15525,0.9525,7.3,6.47,0.006,20.7,6.6,25.6,0.298,8,1,1.3,0.62,0.926,12.4,5.03,0.0117222222222222,NA,0.002,0.017,9.04,6.2,25.5,0.158,NA,0.002,7.8,0.7,1,3.34,0.078,1.06,6.14,0.204666666666667,11.0832666666667,6.2591,7.90653333333333,0.204,4.93623333333333,25.5497333333333,-0.106333333333333,18.2787666666667,7.1446,8.12326666666667,0.330333333333333,12.5640333333333,25.5876,-0.1739
"59",144,83.202,141.19,1.12,2.039,5.58,11.63,77.143,100,1.491,0.854,6.714,3.857,916.667,1108.333,2.18,16.9,50.7103225806452,-0.365806451612903,-0.894838709677419,95.7264516129032,-0.271612903225806,-0.403870967741935,-0.529354838709677,3.05,8.31,0.004,29.4,2.25,16.1,0.009,8.2,0.6,0.6,0.3005,0.295,5.8,7.88,0.013,29.7,6.5,16.7,0.034,8.2,1,1,1.15,0.582,10.7,8.8,0.012,NA,0.006,0.015,10.6,5.6,17.6,0.13,NA,0.002,8.4,0.7,0.8,5.2,0.092,1.1,1.09,0.0351612903225806,8.59061290322581,8.32187096774194,8.39003225806452,0.0367741935483871,5.69603225806452,21.8314838709677,-0.500129032258064,14.2088064516129,9.45054838709677,8.42851612903226,0.0325806451612903,14.4275806451613,21.4244516129032,-0.577032258064516
"60",145,69.841,234.429,0.817,2.706,9.52,13.97,78.2145,134.523666666667,1.72766666666667,0.887,3.964,12.0475,941.667,1191.66633333333,6.39,20.3816666666667,24.4048387096774,-0.479032258064516,-0.950645161290323,26.2641935483871,-0.444516129032258,-0.561612903225806,-0.684838709677419,10.7,7.54,0.014,26.3,2,19.3,0.059,8.2,0.6,0.6,2.4,1.02,4.25,7.71,0.0045,27.1,0.85,19.6,0.035,8.2,1,1,0.4055,0.4265,9.5,8.09,0.0116666666666667,NA,0.0045,0.004,21.7,1.3,20.9,0.056,NA,0.002,8.4,1,1,0.213,0.0846666666666667,0.899,0.38,0.012258064516129,7.84729032258064,8.64687096774194,8.48332258064516,0.0116129032258065,11.969935483871,22.0855806451613,-0.597548387096774,15.1682903225806,9.22077419354839,8.3708064516129,0.00129032258064516,19.4084838709677,21.8592580645161,-0.655967741935484
"61",146,76.258,167.857777777778,0.761,2.00888888888889,17.14,24.3222222222222,79.286,169.047333333333,1.96433333333333,0.92,1.214,20.238,966.667,1274.99966666667,10.6,23.8633333333333,6.5975,-0.231785714285714,-0.701071428571429,7.87785714285714,-0.259285714285714,-0.367142857142857,-0.474285714285714,11.3,7.125,0.0115,28.65,1.7,22.1,0.061,8.25,0.85,0.85,1.4355,1.07,4.8,7.18,0.009,28.8,2.8,24.7,0.027,8.2,1.1,1.1,0.38,0.423,8.9,6.27,0.0113333333333333,NA,0.003,0.011,27.8,1.3,24.1,0.14,NA,0.002,8,0.8,0.8,0.336,0.0773333333333333,0.961,2.27,0.0810714285714286,3.98117857142857,7.72967857142857,8.269,0.0517857142857143,19.1381071428571,24.8338214285714,-0.430214285714286,14.6454642857143,6.48003571428571,8.11564285714286,0.151764705882353,24.8662857142857,24.5445,-0.439142857142857
"62",147,85.62625,183.015555555556,0.776,2.5,23.5111111111111,33.6555555555556,92.143,203.571,2.201,0.694,11.071,28.4285,883.333,1358.333,22.7,27.345,-10.2812903225806,-0.348709677419355,-0.789354838709677,-10.2217391304348,-0.32258064516129,-0.433548387096774,-0.54258064516129,11.9,6.71,0.009,31,1.4,24.9,0.063,8.3,1.1,1.1,0.471,1.12,8.5,7,0.011,32.8,2.5,24.6,0.036,8.2,1,1,0.411,0.783,9.6,7.17,0.011,NA,0.002,0.007,28.3,2.1,25.4,0.118,NA,0.002,8.2,1.3,1.3,0.284,0.07,0.991,0.24,0.00774193548387097,2.53729032258065,6.68322580645161,8.21903225806452,0.00129032258064516,23.8175161290323,25.3546451612903,-0.472161290322581,6.37858064516129,5.71238709677419,8.14432258064516,0.00290322580645161,30.4348064516129,24.7327741935484,-0.496935483870968
