Site_code,Sampling_event,Sample_code,Collected,Accounted For, Filtered,Decarb,Wrapped,Clean Filter Weight,Average Clean Filter Weight,Dried Filter Weight,Sample Weight,Total Weight after Trim,,C Total weight %,C Sample Amount,,N Total weight %,N Sample Amount,,S Total weight %,S Sample Amount,,C Section Weight,C Cut Filter Weight,C Filter Trim Piece,C Sample Weight,C Filter Weight,C Sample to Filter Ratio,C Vial Piece,C Sample Amount in Vial Piece,C Vial Filter Amount,C Weight After Decarb,C Weight Ratio After Decarb (same),C Total Weight to Tin,C approx Sample in Tin,,N Section Weight,N Cut Weight,N Filter Trim Piece,N Sample Weight,N Filter Weight,N Sample to Filter Ratio,N Total Weight to Tin,N apprx Sample in Tin,,S Section Weight,S Cut Weight,S Trim Piece,S Sample Weight,S Filter Weight,S Sample to Filter Ratio,S Total Weight to Tin,S apprx Sample in Tin,,Submitted_SIA,C13,Uc C,Wt%C,Uc C_Percents,Amount,Analyst comments,N15,Uc N,Wt%N,Uc N_Percents,Amount,Analyst comments
JB,4-24,JB_4-24_G,4/11/24,Y,9/6/24,,"C,N,S",130.8,,167.1,36.3,97.5,,27.48717949,10.23368836,,27.38461538,10.19550296,,45.12820513,16.80157791,,39,26.8,12.2,10.23,16.57,0.62,17.6,10.87,6.73,19.7,0.62,5.2,3.21,,36.4,26.7,9.7,10.2,16.5,0.62,12.3,7.6,,69.9,44,25.9,16.8,27.2,0.62,32,19.8,,Y,-26.89,0.3,1.38,0.061031524,0.8,Very small C,,,,,1.5,BDL_N<0.0022mg;0.0009 mg N
JB,8-24,JB_8-24_G,8/1/24,Y,,,"C,N,S",133.4,,146.7,13.3,110.4,,26.08695652,3.142722117,,24.27536232,2.924477526,,49.63768116,5.979901806,,36.7,28.8,7.9,3.14,25.66,0.12,22.7,2.78,19.92,19.5,0.12,6.8,0.83,,37.2,26.8,10.4,2.9,23.9,0.12,12.6,1.5,,71.2,54.8,16.4,6,48.8,0.12,40,4.9,,Y,-26.04,0.21,2.36,0.187075936,1.1,Small C,,,,,1.7,BDL_N<0.0068mg;0.0035 mg N
JB,9-23,JB_9-23_G,10/5/23,Y,12/15/23,,"C,N,S",,130.5010101,208.5,77.9989899,127.5,,27.37254902,16.74534255,,26.11764706,15.97764776,,46.50980392,28.45268805,,42.6,34.9,7.7,16.75,18.15,0.92,19.3,17.8,1.5,21.9,0.92,2.8,2.58,,48.4,33.3,15.1,16,17.3,0.92,4.6,4.2,,78.1,59.3,18.8,28.5,30.8,0.92,18,16.6,,Y,-14.61,0.14,3.67,0.023716038,0.9, ,3.46,0.25,0.953,0.01274812,1.8, 
MCS1,11-24,MCS1_11-24_G,11/16/24,Y,,,"C,N,S",133.1,,152.4,19.3,119.5,,23.68200837,3.824792983,,26.69456067,4.311339087,,49.62343096,8.014495545,,39.3,28.3,11,3.82,24.48,0.16,21.3,3.33,17.97,23.1,0.16,4.6,0.72,,38.2,31.9,6.3,4.3,27.6,0.16,10,1.6,,79.9,59.3,20.6,8,51.3,0.16,26.2,4.1,,Y,-27.43,0.27,1.91,0.183099897,1,Very small C,,,,,1.4,BDL_N<0.003mg;0.0019 mg N
MCS1,8-24,MCS1_8-24_G,8/1/24,Y,,,"C,N,S",128.7,,144.1,15.4,101.5,,25.91133005,3.931374214,,26.69950739,4.050959742,,47.38916256,7.190079837,,37.5,26.3,11.2,3.93,22.37,0.18,16.5,2.9,13.6,16.8,0.18,6.7,1.18,,37.2,27.1,10.1,4.1,23,0.18,12.7,2.2,,70.6,48.1,22.5,7.2,40.9,0.18,40.7,7.2,,Y,-25.14,0.14,9.05,0.163858999,0.9, ,,,,,1.5,BQL_N<0.0144mg;0.012 mg N
MCS1,9-23,MCS1_9-23_G,9/27/23,y,12/15/23,,"C,N,S",133.3,,170.8,37.5,120,,24.58333333,7.682291667,,26.75,8.359375,,48.66666667,15.20833333,,38.1,29.5,8.6,7.68,21.82,0.35,23.6,8.31,15.29,23.8,0.35,9.1,3.2,,38.5,32.1,6.4,8.4,23.7,0.35,19.4,6.8,,71.8,58.4,13.4,15.2,43.2,0.35,50.7,17.9,,Y,-27.36,0.27,2.82,0.178249753,1,Very small C,3.18,0.25,0.449,0.010391896,1.9, 
MCS2,1-24,MCS2_1-24_G,1/7/24,Y,,,"C,N,S",133.5,,146.1,12.6,108.4,,25.55350554,2.970241418,,29.15129151,3.388434253,,45.29520295,5.264940565,,40,27.7,12.3,2.97,24.73,0.12,15.8,1.9,13.9,17.3,0.12,3.4,0.41,,42.4,31.6,10.8,3.4,28.2,0.12,5.9,0.7,,79.3,49.1,30.2,5.3,43.8,0.12,16.2,1.9,,Y,-29.11,0.14,5.72,0.227276107,0.8, ,,,,,1.9,BQL_N<0.0066mg;0.0044 mg N
MCS2,8-24,MCS2_8-24_G,8/1/24,Y,9/17/24,,"C,N,S",131.9,,146.5,14.6,122.5,,25.63265306,3.054993753,,25.06122449,2.986888796,,49.30612245,5.876484798,,50.2,31.4,18.8,3.05,28.35,0.11,18.9,2.04,16.86,17.8,0.11,2.1,0.23,,36.9,30.7,6.2,3,27.7,0.11,4.6,0.5,,85.1,60.4,24.7,5.9,54.5,0.11,12.8,1.4,,Y,-25.72,0.14,8.34,0.025997923,0.7, ,1.82,0.3,0.997,0.008273763,1.8, 
MCS2,9-23,MCS2_9-23_G,9/27/23,y,12/15/23,,"C,N,S",133.4,,155.9,22.5,106.3,,19.37911571,4.101882441,,31.420508,6.650624929,,49.20037629,10.41400251,,39.6,20.6,19,4.1,16.5,0.25,15.3,3.8,11.5,16.8,0.25,4.6,1.14,,41.2,33.4,7.8,6.7,26.7,0.25,5.7,1.4,,72.5,52.3,20.2,10.4,41.9,0.25,19.2,4.8,,Y,-27.77,0.14,5.42,0.186194598,0.9, ,2.82,0.25,0.856,0.009913422,1.7, 
MCS3,8-24,MCS3_8-24_G,8/1/24,Y,,,"C,N,S",133.3,,149,15.7,114.6,,25.04363002,3.430933606,,27.7486911,3.801522254,,47.20767888,6.46736962,,40.1,28.7,11.4,3.43,25.27,0.14,23.9,3.25,20.65,23.6,0.14,2.7,0.37,,42.1,31.8,10.3,3.8,28,0.14,5.4,0.7,,79.1,54.1,25,6.5,47.6,0.14,16.1,2.2,,Y,-25.56,0.15,7.23,0.04587339,0.8, ,1.83,,1.075,0.011461276,1.6, 
MCS3,9-23,MCS3_9-23_G,9/27/23,y,12/15/23,,"C,N,S",134,,162.3,28.3,110.2,,21.59709619,5.546259729,,26.31578947,6.758047569,,52.08711434,13.37627346,,34.1,23.8,10.3,5.55,18.25,0.3,19.7,5.99,13.71,20,0.3,6,1.82,,37.1,29,8.1,6.8,22.2,0.3,10.2,3.1,,76,57.4,18.6,13.4,44,0.3,28.2,8.6,,Y,-28.62,0.14,5.83,0.162838327,1, ,2.78,0.25,0.76,0.01217408,1.5, 
MCS4,4-24,MCS4_4-24_G,4/8/24,Y,9/5/24,,"C,N,S",129.1,,147.7,18.6,101.5,,27.29064039,5.001043461,,24.2364532,4.441359897,,48.4729064,8.882719794,,38.3,27.7,10.6,5,22.7,0.22,17.9,3.94,13.96,18.6,0.22,4.7,1.04,,37.2,24.6,12.6,4.4,20.2,0.22,7.5,1.7,,74.9,49.2,25.7,8.9,40.3,0.22,22.9,5,,Y,-26.69,0.14,3.3,0.300811828,0.9,,3.57,0.25,1.074,0.01733108,1.4, 
MCS4,8-24,MCS4_8-24_G,8/1/24,Y,,,"C,N,S",132.2,,164.4,32.2,126.8,,26.1829653,6.648986456,,27.05047319,6.8692842,,46.76656151,11.87605111,,42.5,33.2,9.3,6.65,26.55,0.25,16.2,4.06,12.14,16.1,0.25,4.1,1.03,,42.9,34.3,8.6,6.9,27.4,0.25,7.6,1.9,,74.1,59.3,14.8,11.9,47.4,0.25,25.9,6.5,,Y,-24.61,0.14,5.73,0.18464866,0.9, ,1.79,0.25,1.103,0.008432594,1.8, 
MCS4,9-23,MCS4_9-23_G,9/27/23,y,12/15/23,,"C,N,S",134.2,,168.3,34.1,105.2,,27.47148289,8.90472972,,24.61977186,7.980363313,,47.90874525,15.52935564,,37.6,28.9,8.7,8.9,20,0.45,16,7.13,8.87,16.1,0.45,3.4,1.51,,34.8,25.9,8.9,8,17.9,0.45,5,2.2,,75.7,50.4,25.3,15.5,34.9,0.45,23.4,10.4,,Y,-27.93,0.2,3.96,0.154766329,1.1,Small C,3.31,0.38,0.547,0.011373738,1.7,Small N
NCL,4-24,NCL_3-24_G,3/7/24,Y,,,"C,N,S",133.5,,151,17.5,112.2,,26.02495544,4.059150803,,25.13368984,3.92013879,,48.84135472,7.617858357,,38.5,29.2,9.3,4.06,25.14,0.16,18.4,2.97,15.43,18.6,0.16,5.3,0.86,,37.5,28.2,9.3,3.9,24.3,0.16,8,1.3,,71.3,54.8,16.5,7.6,47.2,0.16,30.9,5,,Y,-26.37,0.14,6.85,0.217226007,1,,2.99,0.25,0.674,0.018750133,1.5, 
OL,4-24,OL_3-24_G,3/7/24,Y,9/9/24,,"C,N,S",129.9,,161.3,31.4,140.6,,25.24893314,5.638808682,,24.6799431,5.511736937,,50.07112376,11.18231356,,43.7,35.5,8.2,5.64,29.86,0.19,16.3,3.08,13.22,23.2,0.19,3,0.57,,39.6,34.7,4.9,5.5,29.2,0.19,3.8,0.7,,97.7,70.4,27.3,11.2,59.2,0.19,13,2.5,,Y,-28.57,0.14,3.21,0.024356343,0.9, ,,,,,1.7,BQL_N<0.0112mg;0.0045 mg N
OL,9-23,OL_9-23_G,9/15/23,Y,9/3/24,,"C,N,S",128.5,,161.7,33.2,127.6,,23.98119122,6.239620287,,23.51097179,6.117274791,,52.50783699,13.6619137,,45.4,30.6,14.8,6.24,24.36,0.26,23.4,5.99,17.41,24.5,0.26,2.8,0.72,,37.8,30,7.8,6.1,23.9,0.26,3.4,0.9,,87.6,67,20.6,13.7,53.3,0.26,16.7,4.3,,Y,-28.55,0.21,3.47,0.221296564,0.9,Small C,,,,,1.3,BQL_N<0.008mg;0.0047 mg N
P37,8-24,P37_7-24_G,7/3/24,Y,,,"C,N,S",133.7,,172.1,38.4,104.7,,25.40592168,9.317931161,,24.06876791,8.827513731,,50.52531041,18.53077287,,35.7,26.6,9.1,9.32,17.28,0.54,20.8,11.21,9.59,22.2,0.54,5.2,2.8,,36.8,25.2,11.6,8.8,16.4,0.54,8.3,4.5,,71.2,52.9,18.3,18.5,34.4,0.54,33,17.8,,Y,-28.15,0.14,2.57,0.025281398,0.9, ,,,,,1.8,BDL_N<0.0068mg;0.0053 mg N
R127,8-24,R127_7-24_G,7/3/24,Y,,,"C,N,S",132.4,,157.9,25.5,110.7,,25.47425474,5.86805326,,28.00361337,6.450696847,,46.52213189,10.71648025,,40.5,28.2,12.3,5.87,22.33,0.26,16.1,4.23,11.87,15.3,0.26,2.3,0.6,,44.9,31,13.9,6.5,24.5,0.26,3.9,1,,77.2,51.5,25.7,10.7,40.8,0.26,13,3.4,,Y,-30.54,0.14,4.25,0.020091797,1, ,,,,,1.5,BDL_N<0.0068mg;0.0061 mg N
R127,9-23,R127_9-23_G,9/15/23,Y,9/4/24,,"C,N,S",129.1,,144.2,15.1,119.8,,24.95826377,3.145824566,,26.5442404,3.345726461,,48.49749583,6.112789541,,40.1,29.9,10.2,3.15,26.75,0.12,16,1.88,14.12,15.5,0.12,2.7,0.32,,40.8,31.8,9,3.3,28.5,0.12,4,0.5,,77.4,58.1,19.3,6.1,52,0.12,19.5,2.3,,Y,-30.07,0.15,5.08,0.050963582,0.8, ,,,,,1.2,BQL_N<0.008mg;0.0048 mg N
RB,11-24,RB_11-24_G,11/16/24,Y,,,"C,N,S",133.7,,151.1,17.4,112.09,,23.98965117,3.723971188,,23.55250245,3.656111542,,52.45784637,8.143157524,,38.8,26.89,11.91,3.72,23.17,0.16,21.5,3.46,18.04,20.7,0.16,5,0.8,,35.5,26.4,9.1,3.7,22.7,0.16,3.5,0.6,,76.2,58.8,17.4,8.1,50.7,0.16,13.9,2.2,,Y,-26.06,0.14,3.26,0.345541222,0.8,,,,,,1.9,BQL_N<0.0073mg;0.0039 mg N
RB,1-24,RB_1-24_G,1/6/24,Y,,,"C,N,S",133,,170,37,110.1,,22.9791099,7.722316679,,26.7938238,9.004282293,,50.2270663,16.87921393,,35.9,25.3,10.6,7.72,17.58,0.44,19.3,8.48,10.82,20.1,0.44,3.9,1.71,,39.3,29.5,9.8,9,20.5,0.44,6.3,1.4,,75.9,55.3,20.6,16.9,38.4,0.44,22.7,10,,Y,-25.6,0.21,2.28,0.236403487,0.9,Small C,,,,,1.9,BQL_N<0.0112mg;0.0052 mg N
RB,4-24,RB_4-24_G,4/11/24,Y,9/5/24,,"C,N,S",130.1,,155.7,25.6,114.6,,26.52705061,5.925763487,,26.17801047,5.847792915,,47.29493892,10.56501253,,37.2,30.4,6.8,5.93,24.47,0.24,19.4,4.7,14.7,19.1,0.24,4.1,0.99,,37.7,30,7.7,5.8,24.2,0.24,9.7,2.3,,76.1,54.2,21.9,10.6,43.6,0.24,26,6.3,,Y,-25.04,0.3,2.13,0.051663554,0.9,Very small C,,,,,1.9,BQL_N<0.008mg;0.0042 mg N
RB,8-24,RB_8-24_G,8/1/24,Y,,,"C,N,S",128.7,,168.3,39.6,140.8,,23.36647727,6.571821733,,27.20170455,7.650479403,,49.43181818,13.90269886,,50.1,32.9,17.2,6.57,26.33,0.25,23.3,5.82,17.48,25.2,0.25,2.3,0.57,,48.1,38.3,9.8,7.7,30.6,0.25,3.6,0.9,,98.5,69.6,28.9,13.9,55.7,0.25,10.5,2.6,,Y,-20.48,0.14,4.62,0.246190547,1,,,,,,2,BQL_N<0.0144mg;0.0096 mg N
RB,9-23,RB_9-23_G,9/27/23,Y,12/15/23,,"C,N,S",,130.5010101,142.1,11.5989899,133.9,,27.78192681,2.406589159,,25.76549664,2.231917366,,46.45257655,4.023920584,,48.7,37.2,11.5,2.41,34.79,0.07,21.4,1.48,19.92,22.9,0.07,2.4,0.17,,48.1,34.5,13.6,2.2,32.3,0.07,3.8,0.3,,87,62.2,24.8,4,58.2,0.07,12.5,0.9,,Y,-23.72,0.14,4.78,0.025803025,0.8, ,,,,,1.6,BQL_N<0.0112mg;0.0055 mg N
SBT1,11-24,SBT1_11-24_G,11/10/24,Y,,,"C,N,S",133.6,,161.2,27.6,121,,24.21487603,5.523393211,,28.26446281,6.447100608,,47.52066116,10.83942354,,45.5,29.3,16.2,5.52,23.78,0.23,17.7,4.11,13.59,18.2,0.23,2.7,0.63,,44.7,34.2,10.5,6.4,27.8,0.23,3.7,0.9,,78.5,57.5,21,10.8,46.7,0.23,14,3.3,,Y,-31.86,0.14,10.49,0.141865234,1, ,3.13,0.31,1.747,0.061704564,2, 
SBT1,1-24,SBT1_1-24_G,2/2/24,Y,,,"C,N,S",130.1,,172.2,42.1,123.7,,27.00080841,9.189442473,,24.97978981,8.501609953,,48.01940178,16.34290069,,43.7,33.4,10.3,9.19,24.21,0.38,16.1,6.11,9.99,18.1,0.38,3.3,1.25,,44.9,30.9,14,8.5,22.4,0.38,3.9,1.5,,77.6,59.4,18.2,16.3,43.1,0.38,17,6.5,,Y,-31.71,0.14,13.16,0.232385291,0.8,,3.98,0.25,1.257,0.011619802,1.8, 
SBT1,4-24,SBT1_4-24_G,4/9/24,Y,9/5/24,,"C,N,S",128.8,,164.2,35.4,120.9,,27.54342432,8.064823994,,25.97187758,7.604668871,,46.4846981,13.61090416,,45.8,33.3,12.5,8.06,25.24,0.32,18.8,6.01,12.79,18.8,0.32,3.1,0.99,,41.9,31.4,10.5,7.6,23.8,0.32,5.4,1.7,,76.5,56.2,20.3,13.6,42.6,0.32,17,5.4,,Y,-31.76,0.14,14.19,0.135939902,1, ,,,,,1.5,BQL_N<0.0112mg;0.0071 mg N
SBT1,8-24,SBT1_8-24_G,8/1/24,Y,,,"C,N,S",133.3,,164.7,31.4,135.4,,25.92319055,6.011729565,,24.96307238,5.789072915,,49.11373708,11.38974405,,42.2,35.1,7.1,6.01,29.09,0.21,19.6,4.05,15.55,19.8,0.21,3.3,0.68,,41.3,33.8,7.5,5.8,28,0.21,5.9,1.2,,84.4,66.5,17.9,11.4,55.1,0.21,19.1,3.9,,Y,-24.68,0.14,8.33,0.016019701,1, ,2.33,,0.861,0.009164595,2, 
SBT1,9-23,SBT1_9-23_G,9/30/23,Y,10/3/24,,"C,N,S",,130.5010101,155.4,24.8989899,128.4,,25.15576324,4.878139368,,24.45482866,4.74221598,,50.3894081,9.771381334,,41.4,32.3,9.1,4.88,27.42,0.18,21.4,3.81,17.59,22.2,0.18,3.6,0.64,,37.4,31.4,6,4.7,26.7,0.18,7.5,1.3,,80.7,64.7,16,9.8,54.9,0.18,22,3.9,,Y,-25.34,0.14,7.53,0.014591571,1.1, ,2.8,0.3,0.913,0.010022406,1.6, 
SBT2,11-24,SBT2_11-24_G,11/16/24,Y,,,"C,N,S",134.7,,164.2,29.5,127.2,,25.78616352,5.980281634,,29.48113208,6.837212234,,44.7327044,10.37433003,,46.4,32.8,13.6,5.98,26.82,0.22,21.3,4.75,16.55,22.7,0.22,3,0.67,,44.7,37.5,7.2,6.8,30.7,0.22,5.9,1.3,,81.4,56.9,24.5,10.4,46.5,0.22,15,3.3,,Y,-22.18,0.2,4.16,0.171242198,1,Small C,2.42,0.25,0.661,0.011669283,1.6, 
SBT2,1-24,SBT2_1-24_G,1/6/24,Y,1/29/24,,"C,N,S",,130.5010101,158.5,27.9989899,120.8,,26.07615894,6.043924758,,25.33112583,5.871241194,,48.59271523,11.26280582,,43.5,31.5,12,6.04,25.46,0.24,16.9,4.01,12.89,19,0.24,4,0.95,,44.5,30.6,13.9,5.9,24.7,0.24,7.7,1.8,,74.8,58.7,16.1,11.3,47.4,0.24,21.8,5.2,,Y,-23.15,0.14,2.13,0.023017394,1, ,,,,,1.6,BQL_N<0.0066mg;0.0023 mg N
SBT2,4-24,SBT2_4-24_G,4/11/24,Y,9/5/24,,"C,N,S",131.5,,194.6,63.1,119.6,,26.50501672,13.98383407,,27.25752508,14.38085144,,46.23745819,24.39451181,,41.3,31.7,9.6,13.98,17.72,0.79,20.3,16.02,4.28,21,0.79,5,3.95,,40.5,32.6,7.9,14.4,18.2,0.79,6.9,5.4,,79.9,55.3,24.6,24.4,30.9,0.79,21.2,16.7,,Y,-23.81,0.14,1.9,0.287672684,1,,,,,,1.7,BDL_N<0.003mg;0.0029 mg N
SBT2,8-24,SBT2_8-24_G,8/1/24,Y,,,"C,N,S",135.4,,163.3,27.9,111.5,,24.30493274,6.08168272,,24.93273543,6.238774156,,50.76233184,12.70196465,,37.1,27.1,10,6.08,21.02,0.29,16.6,4.8,11.8,17.5,0.29,6.8,1.97,,40.1,27.8,12.3,6.2,21.6,0.29,10.6,3.1,,72.8,56.6,16.2,12.7,43.9,0.29,39.3,11.4,,Y,-22.9,0.3,2.48,0.057895686,0.8,Very small C,,,,,1.9,BDL_N<0.0068mg;0.0062 mg N
SBT2,9-23,SBT2_9-23_G,10/5/23,Y,12/15/23,,"C,N,S",,130.5010101,174.7,44.1989899,127.3,,24.1162608,8.373247192,,24.43047918,8.482344875,,51.45326002,17.86474564,,41.9,30.7,11.2,8.37,22.33,0.38,23.2,8.7,14.5,22.9,0.38,2.9,1.09,,42.1,31.1,11,8.5,22.6,0.38,3.8,1.4,,93.7,65.5,28.2,17.9,47.6,0.38,14.3,5.4,,Y,,,1.15,0.027413738,0.9,Too Small,,,,,1.9,BDL_N<0.0041mg;0.0019 mg N
TB1,11-24,TB1_11-24_G,11/16/24,Y,,,"C,N,S",132.1,,160.1,28,120,,25.25,5.891666667,,27.16666667,6.338888889,,47.58333333,11.10277778,,44.8,30.3,14.5,5.89,24.41,0.24,20.1,4.85,15.25,20.5,0.24,2.2,0.53,,43.5,32.6,10.9,6.3,26.3,0.24,4.3,1,,81.4,57.1,24.3,11.1,46,0.24,12.6,3,,Y,-23.86,0.14,3.07,0.269080833,1,,,,,,1.9,BQL_N<0.0073mg;0.0054 mg N
TB1,1-24,TB1_1-24_G,1/7/24,Y,,,"C,N,S",132.7,,146.5,13.8,118.5,,22.53164557,2.623938471,,22.86919831,2.663248411,,54.59915612,6.358382738,,38.6,26.7,11.9,2.62,24.08,0.11,16.9,1.84,15.06,18,0.11,2.9,0.32,,39.6,27.1,12.5,2.7,24.4,0.11,6.2,0.7,,85.1,64.7,20.4,6.4,58.3,0.11,16.6,1.8,,Y,-28.24,0.14,9.46,0.261627512,0.8,,4.2,0.3,0.917,0.010006131,1.6, 
TB1,4-24,TB1_4-24_G,4/8/24,Y,9/9/24,,"C,N,S",129.9,,148.9,19,105.8,,26.08695652,4.684803156,,27.5047259,4.939412023,,46.40831758,8.334196919,,37.8,27.6,10.2,4.68,22.92,0.2,17.5,3.58,13.92,18,0.2,3.8,0.78,,40.6,29.1,11.5,4.9,24.2,0.2,8.8,1.8,,75.8,49.1,26.7,8.3,40.8,0.2,21.1,4.3,,Y,-25.93,0.14,7.36,0.209581376,0.8, ,4.18,,0.834,0.020972048,1.1, 
TB1,8-24,TB1_8-24_G,8/1/24,Y,,,"C,N,S",133.6,,147.9,14.3,122.7,,26.24286879,3.05845985,,27.38386308,3.191436366,,46.37326813,5.404545512,,43,32.2,10.8,3.06,29.14,0.1,13.5,1.42,12.08,14.2,0.1,3.5,0.37,,44.6,33.6,11,3.2,30.4,0.1,5.8,0.6,,79.1,56.9,22.2,5.4,51.5,0.1,17,1.8,,Y,-25.21,0.14,5.33,0.270679544,0.9,,,,,,1.8,BQL_N<0.0144mg;0.01 mg N
TB1,9-23,TB1_9-23_G,9/27/23,Y,12/15/23,,"C,N,S",,130.5010101,141.5,10.9989899,119.6,,25.33444816,2.32987742,,27.25752508,2.506732802,,47.40802676,4.359869627,,38.6,30.3,8.3,2.33,27.97,0.08,16.8,1.4,15.4,16.9,0.08,3.9,0.32,,42.2,32.6,9.6,2.5,30.1,0.08,7.1,0.6,,78.2,56.7,21.5,4.4,52.3,0.08,20.2,1.7,,Y,-27.9,0.14,5.84,0.020942005,0.9, ,,,,,1.4,BQL_N<0.0112mg;0.0095 mg N
TB2,11-24,TB2_11-24_G,11/16/24,Y,,,"C,N,S",134.4,,157.4,23,114.3,,28.78390201,5.792036275,,25.28433946,5.087837336,,45.93175853,9.242611078,,41,32.9,8.1,5.79,27.11,0.21,17,3.63,13.37,18.5,0.21,3,0.64,,34,28.9,5.1,5.1,23.8,0.21,7.2,1.5,,65,52.5,12.5,9.2,43.3,0.21,18,3.8,,Y,-22.86,0.14,6.29,0.35607754,0.7,,2.67,0.25,0.67,0.009284618,1.9, 
TB2,8-24,TB2_8-24_G,8/1/24,Y,,,"C,N,S",134.2,,168.3,34.1,114.3,,24.32195976,7.256157722,,25.63429571,7.647677024,,50.04374453,14.92993603,,40.2,27.8,12.4,7.26,20.54,0.35,17.3,6.11,11.19,20.9,0.35,2.8,0.99,,44,29.3,14.7,7.6,21.7,0.35,5,1.8,,80.9,57.2,23.7,14.9,42.3,0.35,17.2,6.1,,Y,-22.13,0.14,3.78,0.258326814,1,,,,,,1.7,BQL_N<0.0144mg;0.0075 mg N
TB2,9-23,TB2_9-23_G,9/27/23,Y,12/15/23,,"C,N,S",,130.5010101,157.2,26.6989899,119.7,,25.73099415,5.739277802,,22.80701754,5.087087143,,51.4619883,11.4785556,,44.7,30.8,13.9,5.74,25.06,0.23,19.8,4.53,15.27,21.3,0.23,2.3,0.53,,43.4,27.3,16.1,5.1,22.2,0.23,3.1,0.7,,89.5,61.6,27.9,11.5,50.1,0.23,13.1,3,,Y,-20.17,0.14,5.36,0.018732938,1, ,2.98,0.3,0.647,0.009720629,1.8, 
TBC,4-24,TBC_4-24_G,4/8/24,Y,9/9/24,,"C,N,S",132,,160.2,28.2,119.8,,25.20868114,5.93392995,,23.95659432,5.63919833,,50.83472454,11.96610377,,44.4,30.2,14.2,5.93,24.27,0.24,20,4.89,15.11,19.6,0.24,2.3,0.56,,42.9,28.7,14.2,5.6,23.1,0.24,4,1,,91.1,60.9,30.2,12,48.9,0.24,12.6,3.1,,Y,-28.81,0.14,5.47,0.197716185,0.9, ,2.19,0.3,0.831,0.010398068,1.6, 
TBC,8-24,TBC_8-24_G,8/1/24,Y,,,"C,N,S",133.6,,163.9,30.3,119,,23.19327731,5.905515147,,25.29411765,6.440434998,,51.51260504,13.11623473,,41.5,27.6,13.9,5.91,21.69,0.27,18.2,4.95,13.25,17.8,0.27,2.5,0.68,,42.1,30.1,12,6.4,23.7,0.27,5.1,1.4,,84.3,61.3,23,13.1,48.2,0.27,14.1,3.8,,Y,-23.74,0.21,2.95,0.227789889,0.9,Small C,,,,,1.5,BDL_N<0.0068mg;0.0054 mg N
TBC,9-23,TBC_9-23_G,9/27/23,Y,12/15/23,,"C,N,S",,130.5010101,153.2,22.6989899,130.8,,27.75229358,4.816124095,,25,4.338491953,,47.24770642,8.199351765,,47.2,36.3,10.9,4.82,31.48,0.15,23.9,3.66,20.24,29.7,0.15,3,0.46,,44.9,32.7,12.2,4.3,28.4,0.15,5,0.8,,72.7,61.8,10.9,8.2,53.6,0.15,15.4,2.4,,Y,-23.48,0.14,3.05,0.021701408,1, ,,,,,1.6,BQL_N<0.0112mg;0.0041 mg N
TBCM,4-24,TBCM_4-24_G,4/8/24,Y,9/6/24,,"C,N,S",128.4,,149,20.6,115.9,,24.84900777,4.41664849,,27.26488352,4.846044871,,47.88610871,8.511249694,,40.9,28.8,12.1,4.42,24.38,0.18,20.1,3.64,16.46,21,0.18,2.4,0.43,,44,31.6,12.4,4.8,26.8,0.18,5,0.9,,84,55.5,28.5,8.5,47,0.18,12.2,2.2,,Y,-24.23,0.23,3.46,0.055186317,0.8,Small C,,,,,1.1,BQL_N<0.0112mg;0.0079 mg N
TBCM,8-24,TBCM_8-24_G,8/1/24,Y,,,"C,N,S",129.5,,152,22.5,140.3,,23.87740556,3.829234676,,24.94654312,4.000692945,,51.17605132,8.207135814,,43,33.5,9.5,3.83,29.67,0.13,21.2,2.74,18.46,24,0.13,3.9,0.5,,44.7,35,9.7,4,31,0.13,6.5,0.8,,88.9,71.8,17.1,8.2,63.6,0.13,18.7,2.4,,Y,-21.79,0.14,5.98,0.261785086,0.9,,,,,,1.5,BQL_N<0.0144mg;0.0107 mg N
TBCM,9-23,TBCM_9-23_G,9/27/23,Y,10/3/24,,"C,N,S",,130.5010101,149.1,18.5989899,142.7,,25.22775053,3.288091641,,25.22775053,3.288091641,,49.54449895,6.45744664,,45.4,36,9.4,3.29,32.71,0.1,22.9,2.3,20.6,23.2,0.1,4,0.4,,45.7,36,9.7,3.3,32.7,0.1,5.3,0.5,,82.4,70.7,11.7,6.5,64.2,0.1,21.8,2.2,,Y,-24.28,0.14,5.19,0.021731149,0.9, ,,,,,1.5,BQL_N<0.0112mg;0.009 mg N
TBHM,4-24,TBHM_4-24_G,4/8/24,Y,9/6/24,,"C,N,S",129.5,,151.8,22.3,116.5,,24.46351931,4.682716572,,26.18025751,5.011328262,,49.35622318,9.447586067,,34.1,28.5,5.6,4.68,23.82,0.2,21.5,4.23,17.27,21.7,0.2,3.6,0.71,,41.4,30.5,10.9,5,25.5,0.2,6.5,1.3,,84.4,57.5,26.9,9.4,48.1,0.2,18.9,3.7,,Y,-26.38,0.15,10.86,0.039273455,0.8, ,3.58,0.25,0.859,0.018933618,1.4, 
